Предмет,Сообщение
clothes,У нас красивая практиканта ведет сегодня. Оденься нормально ахаха
phone,Самое главное - не забыть телефон
report,"Я забыл про доклад. Ты делал? Как думаешь, меня отчислят?"
usb,Не забудь мою флешку пожалуйста
pencilcase,Я забыл ручку. Возьмешь запасную?
conspect,"Ты помнишь, что на кр можно использовать конспекты. Будешь брать?"
powerbank,"Если ты ещё не вышел, можешь пожалуйста взять повербанк?"
calculator,"А и калькулятор возьми пж. Кстати, могу с тобой сесть на кр? А то сам я не решу"
keys,А ты достал ключи то? Ну которыми ты кольцо из раковины доставал ахах
bicycleKeys,Ты на велике же? Там на улице такие лужи.
jacket,"На улице -1, надеюсь ты в куртке. Люблю, мама."
boots,"И теплые сапоги надень. Уже зима. Люблю, мама."
ticket,"Ребят, не забудьте студенческие. Мне надо отнести все в дирекцию"
uniKey,Пропуск не забудь. Я не собираюсь снова спускаться чтобы тебя пропустить
umbrella,"Я промок пока шел это ад какой-то. Классный день, чтобы забыть зонтик"
toothbrush,Напоминание: на забыть почистить зубы
brush,Напоминание: не забыть причесаться
deodorant,"Скажи мне, что ты взял дезодорант. У нас физра второй парой, а я забыл"
dryShampoo,Напоминание: успеть помыть голову или нанести сухой шампунь
medicine,Я сейчас умру… Захвати таблетки от головы пж
breakfast,Напоминание: надо позавтракать
lunchBox,"У нас 4 пары, пойдем на перерыве в БК или у тебя с еда собой?"
chocolate,"Сегодня день преподавателя, ты будешь дарить шоколадку кому-нибудь?"
coffee,"Хочу кофе, а то я сейчас усну. Ты скоро?"
headphones,Принесешь наушники? Я такой сериал нашел